,INDEX,VD,,"OSFP Port#","OSFP Lane#",VD,"Port Group","Rx Ramon3","Rx Core","Physical Rx Lane","Rx 2x2 Mux","Post-Mux Rx Lane","Tx Ramon3","Tx Core","Physical Tx Lane","Tx 8x8 Mux","Post-Mux Tx Lane",,"Rx Trace Loss","Tx Trace Loss",,Pre3,Pre2,Pre,Main,Post,Post2
,224,R0.0,,28,8,0,1,0,14,1,,1,0,14,5,x,1,,6.2,6.4,,0,0,-8,100,0,0
,225,R1.0,,29,1,2,1,1,50,6,x,2,1,50,2,x,2,,6.3,6.7,,0,2,-12,104,-4,0
,226,R0.0,,29,2,0,1,0,13,6,x,2,0,13,1,x,2,,7.5,7.3,,0,2,-12,108,-4,0
,227,R1.1,,29,3,3,1,1,50,2,x,6,1,50,6,x,6,,6.4,6.9,,0,2,-12,104,-4,0
,228,R0.1,,29,4,1,1,0,13,2,x,6,0,13,5,x,6,,7.4,7.3,,0,2,-12,108,-4,0
,229,R1.0,,29,5,2,1,1,51,6,x,2,1,51,2,x,2,,6.6,6.7,,0,2,-12,104,-4,0
,230,R0.0,,29,6,0,1,0,12,6,x,2,0,12,1,x,2,,7.5,7.6,,0,2,-12,108,-4,0
,231,R1.1,,29,7,3,1,1,51,2,x,6,1,51,6,x,6,,6.7,6.8,,0,2,-12,104,-4,0
,232,R0.1,,29,8,1,1,0,12,2,x,6,0,12,5,x,6,,7.4,7.6,,0,2,-12,108,-4,0
,233,R1.0,,30,1,2,1,1,48,6,x,2,1,48,3,x,2,,5.1,5.5,,0,0,-8,104,-4,0
,234,R0.0,,30,2,0,1,0,15,6,x,2,0,15,2,x,2,,8.1,7.8,,0,2,-16,116,-4,0
,235,R1.1,,30,3,3,1,1,48,2,x,6,1,48,7,x,6,,5.2,5.5,,0,0,-8,104,-4,0
,236,R0.1,,30,4,1,1,0,15,2,x,6,0,15,6,x,6,,8.1,8.1,,0,2,-16,116,-4,0
,237,R1.0,,30,5,2,1,1,49,6,x,2,1,49,3,x,2,,5.4,5.5,,0,0,-8,104,-4,0
,238,R0.0,,30,6,0,1,0,14,6,x,2,0,14,2,x,2,,8.1,8.1,,0,2,-16,116,-4,0
,239,R1.1,,30,7,3,1,1,49,2,x,6,1,49,7,x,6,,5.5,5.5,,0,0,-8,104,-4,0
,240,R0.1,,30,8,1,1,0,14,2,x,6,0,14,6,x,6,,8.0,8.3,,0,2,-16,116,-4,0
,241,R1.0,,31,1,2,1,1,50,7,x,3,1,50,3,x,3,,4.3,4.8,,0,0,-8,104,-4,0
,242,R0.0,,31,2,0,1,0,13,7,x,3,0,13,2,x,3,,9.1,9.0,,0,2,-16,124,-4,0
,243,R1.1,,31,3,3,1,1,50,3,x,7,1,50,7,x,7,,4.6,4.8,,0,0,-8,104,-4,0
,244,R0.1,,31,4,1,1,0,13,3,x,7,0,13,6,x,7,,9.2,9.3,,0,2,-16,124,-4,0
,245,R1.0,,31,5,2,1,1,51,7,x,3,1,51,3,x,3,,4.6,4.8,,0,0,-8,104,-4,0
,246,R0.0,,31,6,0,1,0,12,7,x,3,0,12,2,x,3,,9.1,9.3,,0,2,-16,124,-4,0
,247,R1.1,,31,7,3,1,1,51,3,x,7,1,51,7,x,7,,4.9,4.8,,0,0,-8,104,-4,0
,248,R0.1,,31,8,1,1,0,12,3,x,7,0,12,6,x,7,,9.2,9.5,,0,2,-16,124,-4,0
,249,R1.0,,32,1,2,1,1,48,7,x,3,1,48,0,x,3,,3.2,3.6,,0,0,-8,100,-4,0
,250,R0.0,,32,2,0,1,0,15,7,x,3,0,15,3,x,3,,9.7,9.0,,0,0,-8,112,-4,0
,251,R1.1,,32,3,3,1,1,48,3,x,7,1,48,4,x,7,,3.4,3.6,,0,0,-8,100,-4,0
,252,R0.1,,32,4,1,1,0,15,3,x,7,0,15,7,x,7,,9.9,9.1,,0,0,-8,112,-4,0
,253,R1.0,,32,5,2,1,1,49,7,x,3,1,49,0,x,3,,3.4,3.6,,0,0,-8,100,-4,0
,254,R0.0,,32,6,0,1,0,14,7,x,3,0,14,3,x,3,,9.7,9.3,,0,0,-8,112,-4,0
,255,R1.1,,32,7,3,1,1,49,3,x,7,1,49,4,x,7,,3.7,3.6,,0,0,-8,100,-4,0
,256,R0.1,,32,8,1,1,0,14,3,x,7,0,14,7,x,7,,9.9,9.4,,0,0,-8,112,-4,0
,257,R1.1,,33,1,3,2,1,46,0,x,4,1,46,4,x,4,,9.2,9.6,,0,2,-16,112,-4,0
,258,R0.1,,33,2,1,2,0,17,0,x,4,0,17,7,x,4,,3.4,2.7,,0,0,-8,104,-4,0
,259,R1.0,,33,3,2,2,1,46,4,x,0,1,46,0,x,0,,9.5,9.5,,0,2,-16,112,-4,0
,260,R0.0,,33,4,0,2,0,17,4,x,0,0,17,3,x,0,,3.6,2.9,,0,0,-8,104,-4,0
,261,R1.1,,33,5,3,2,1,47,0,x,4,1,47,4,x,4,,9.5,9.6,,0,2,-16,112,-4,0
,262,R0.1,,33,6,1,2,0,16,0,x,4,0,16,7,x,4,,3.4,3.0,,0,0,-8,104,-4,0
,263,R1.0,,33,7,2,2,1,47,4,x,0,1,47,0,x,0,,9.9,9.5,,0,2,-16,112,-4,0
,264,R0.0,,33,8,0,2,0,16,4,x,0,0,16,3,x,0,,3.6,3.2,,0,0,-8,104,-4,0
,265,R1.1,,34,1,3,2,1,44,0,x,4,1,44,5,x,4,,8.0,8.9,,0,2,-12,124,-4,0
,266,R0.1,,34,2,1,2,0,19,0,x,4,0,19,4,x,4,,4.0,3.9,,0,0,-8,96,0,0
,267,R1.0,,34,3,2,2,1,44,4,x,0,1,44,1,x,0,,8.3,9.0,,0,2,-12,124,-4,0
,268,R0.0,,34,4,0,2,0,19,4,x,0,0,19,0,x,0,,4.3,3.9,,0,0,-8,96,0,0
,269,R1.1,,34,5,3,2,1,45,0,x,4,1,45,5,x,4,,8.3,8.8,,0,2,-12,124,-4,0
,270,R0.1,,34,6,1,2,0,18,0,x,4,0,18,4,x,4,,4.0,4.1,,0,0,-8,96,0,0
,271,R1.0,,34,7,2,2,1,45,4,x,0,1,45,1,x,0,,8.6,9.0,,0,2,-12,124,-4,0
,272,R0.0,,34,8,0,2,0,18,4,x,0,0,18,0,x,0,,4.2,4.2,,0,0,-8,96,0,0
,273,R1.1,,35,1,3,2,1,46,1,x,5,1,46,5,x,5,,7.4,8.2,,0,2,-12,112,-4,0
,274,R0.1,,35,2,1,2,0,17,1,x,5,0,17,4,x,5,,5.3,5.1,,0,0,-8,104,-4,0
,275,R1.0,,35,3,2,2,1,46,5,x,1,1,46,1,x,1,,7.6,8.3,,0,2,-12,112,-4,0
,276,R0.0,,35,4,0,2,0,17,5,x,1,0,17,0,x,1,,5.3,5.1,,0,0,-8,104,-4,0
,277,R1.1,,35,5,3,2,1,47,1,x,5,1,47,5,x,5,,7.8,8.1,,0,2,-12,112,-4,0
,278,R0.1,,35,6,1,2,0,16,1,x,5,0,16,4,x,5,,5.3,5.3,,0,0,-8,104,-4,0
,279,R1.0,,35,7,2,2,1,47,5,x,1,1,47,1,x,1,,7.9,8.2,,0,2,-12,112,-4,0
,280,R0.0,,35,8,0,2,0,16,5,x,1,0,16,0,x,1,,5.3,5.4,,0,0,-8,104,-4,0
,281,R1.1,,36,1,3,2,1,44,1,x,5,1,44,6,x,5,,6.2,7.1,,0,2,-12,108,-4,0
,282,R0.1,,36,2,1,2,0,19,1,x,5,0,19,5,x,5,,5.9,5.5,,0,0,-8,104,-4,0
,283,R1.0,,36,3,2,2,1,44,5,x,1,1,44,2,x,1,,6.4,7.0,,0,2,-12,108,-4,0
,284,R0.0,,36,4,0,2,0,19,5,x,1,0,19,1,x,1,,5.9,5.8,,0,0,-8,104,-4,0
,285,R1.1,,36,5,3,2,1,45,1,x,5,1,45,6,x,5,,6.5,7.1,,0,2,-12,108,-4,0
,286,R0.1,,36,6,1,2,0,18,1,x,5,0,18,5,x,5,,5.9,5.8,,0,0,-8,104,-4,0
,287,R1.0,,36,7,2,2,1,45,5,x,1,1,45,2,x,1,,6.7,7.0,,0,2,-12,108,-4,0
,288,R0.0,,36,8,0,2,0,18,5,x,1,0,18,1,x,1,,5.9,6.1,,0,0,-8,104,-4,0
,289,R1.0,,37,1,2,2,1,46,2,,2,1,46,6,x,2,,5.7,6.4,,0,0,-8,100,0,0
,290,R0.0,,37,2,0,2,0,17,2,,2,0,17,5,x,2,,7.2,6.7,,0,2,-12,108,-4,0
,291,R1.1,,37,3,3,2,1,46,6,,6,1,46,2,x,6,,5.8,6.3,,0,0,-8,100,0,0
,292,R0.1,,37,4,1,2,0,17,6,,6,0,17,1,x,6,,7.2,7.0,,0,2,-12,108,-4,0
,293,R1.0,,37,5,2,2,1,47,2,,2,1,47,6,x,2,,6.0,6.4,,0,0,-8,100,0,0
,294,R0.0,,37,6,0,2,0,16,2,,2,0,16,5,x,2,,7.2,7.0,,0,2,-12,108,-4,0
,295,R1.1,,37,7,3,2,1,47,6,,6,1,47,2,x,6,,6.2,6.3,,0,0,-8,100,0,0
,296,R0.1,,37,8,1,2,0,16,6,,6,0,16,1,x,6,,7.2,7.3,,0,2,-12,108,-4,0
,297,R1.0,,38,1,2,2,1,44,2,,2,1,44,7,x,2,,4.5,5.1,,0,0,-8,104,-4,0
,298,R0.0,,38,2,0,2,0,19,2,,2,0,19,6,x,2,,7.9,7.4,,0,2,-12,112,-4,0
,299,R1.1,,38,3,3,2,1,44,6,,6,1,44,3,x,6,,4.6,5.1,,0,0,-8,104,-4,0
,300,R0.1,,38,4,1,2,0,19,6,,6,0,19,2,x,6,,7.8,7.5,,0,2,-12,112,-4,0
,301,R1.0,,38,5,2,2,1,45,2,,2,1,45,7,x,2,,4.8,5.1,,0,0,-8,104,-4,0
,302,R0.0,,38,6,0,2,0,18,2,,2,0,18,6,x,2,,7.8,7.7,,0,2,-12,112,-4,0
,303,R1.1,,38,7,3,2,1,45,6,,6,1,45,3,x,6,,4.9,5.1,,0,0,-8,104,-4,0
,304,R0.1,,38,8,1,2,0,18,6,,6,0,18,2,x,6,,7.8,7.8,,0,2,-12,112,-4,0
,305,R1.0,,39,1,2,2,1,46,3,,3,1,46,7,x,3,,3.9,4.4,,0,0,-8,104,-4,0
,306,R0.0,,39,2,0,2,0,17,3,,3,0,17,6,x,3,,9.1,8.6,,0,2,-16,120,-4,0
,307,R1.1,,39,3,3,2,1,46,7,,7,1,46,3,x,7,,3.8,4.4,,0,0,-8,104,-4,0
,308,R0.1,,39,4,1,2,0,17,7,,7,0,17,2,x,7,,8.8,8.7,,0,2,-16,120,-4,0
,309,R1.0,,39,5,2,2,1,47,3,,3,1,47,7,x,3,,4.2,4.4,,0,0,-8,104,-4,0
,310,R0.0,,39,6,0,2,0,16,3,,3,0,16,6,x,3,,9.1,8.9,,0,2,-16,120,-4,0
,311,R1.1,,39,7,3,2,1,47,7,,7,1,47,3,x,7,,4.2,4.4,,0,0,-8,104,-4,0
,312,R0.1,,39,8,1,2,0,16,7,,7,0,16,2,x,7,,8.8,9.0,,0,2,-16,120,-4,0
,313,R1.0,,40,1,2,2,1,44,3,,3,1,44,4,x,3,,2.7,3.2,,0,0,-8,96,0,0
,314,R0.0,,40,2,0,2,0,19,3,,3,0,19,7,x,3,,9.8,8.6,,0,2,-16,112,-4,0
,315,R1.1,,40,3,3,2,1,44,7,,7,1,44,0,x,7,,2.6,3.2,,0,0,-8,96,0,0
,316,R0.1,,40,4,1,2,0,19,7,,7,0,19,3,x,7,,9.5,8.7,,0,2,-16,112,-4,0
,317,R1.0,,40,5,2,2,1,45,3,,3,1,45,4,x,3,,3.0,3.2,,0,0,-8,96,0,0
,318,R0.0,,40,6,0,2,0,18,3,,3,0,18,7,x,3,,9.7,8.9,,0,2,-16,112,-4,0
,319,R1.1,,40,7,3,2,1,45,7,,7,1,45,0,x,7,,2.9,3.2,,0,0,-8,96,0,0
,320,R0.1,,40,8,1,2,0,18,7,,7,0,18,3,x,7,,9.5,9.0,,0,2,-16,112,-4,0
,321,R1.1,,41,1,3,2,1,42,0,x,4,1,42,4,x,4,,8.7,9.2,,0,2,-16,112,-4,0
,322,R0.1,,41,2,1,2,0,21,0,x,4,0,21,7,x,4,,2.9,2.3,,0,0,-8,104,-4,0
,323,R1.0,,41,3,2,2,1,42,4,x,0,1,42,0,x,0,,9.0,9.1,,0,2,-16,112,-4,0
,324,R0.0,,41,4,0,2,0,21,4,x,0,0,21,3,x,0,,3.1,2.4,,0,0,-8,104,-4,0
,325,R1.1,,41,5,3,2,1,43,0,x,4,1,43,4,x,4,,9.0,9.2,,0,2,-16,112,-4,0
,326,R0.1,,41,6,1,2,0,20,0,x,4,0,20,7,x,4,,2.8,2.7,,0,0,-8,104,-4,0
,327,R1.0,,41,7,2,2,1,43,4,x,0,1,43,0,x,0,,9.3,9.2,,0,2,-16,112,-4,0
,328,R0.0,,41,8,0,2,0,20,4,x,0,0,20,3,x,0,,3.0,2.9,,0,0,-8,104,-4,0
,329,R1.1,,42,1,3,2,1,40,0,x,4,1,40,5,x,4,,7.5,8.4,,0,2,-16,120,-8,0
,330,R0.1,,42,2,1,2,0,23,0,x,4,0,23,4,x,4,,3.6,3.4,,0,0,-8,104,-4,0
,331,R1.0,,42,3,2,2,1,40,4,x,0,1,40,1,x,0,,7.8,8.5,,0,2,-16,120,-8,0
,332,R0.0,,42,4,0,2,0,23,4,x,0,0,23,0,x,0,,3.8,3.4,,0,0,-8,104,-4,0
,333,R1.1,,42,5,3,2,1,41,0,x,4,1,41,5,x,4,,7.8,8.4,,0,2,-16,120,-8,0
,334,R0.1,,42,6,1,2,0,22,0,x,4,0,22,4,x,4,,3.5,3.6,,0,0,-8,104,-4,0
,335,R1.0,,42,7,2,2,1,41,4,x,0,1,41,1,x,0,,8.1,8.7,,0,2,-16,120,-8,0
,336,R0.0,,42,8,0,2,0,22,4,x,0,0,22,0,x,0,,3.7,3.9,,0,0,-8,104,-4,0
,337,R1.1,,43,1,3,2,1,42,1,x,5,1,42,5,x,5,,6.9,7.9,,0,2,-16,112,-4,0
,338,R0.1,,43,2,1,2,0,21,1,x,5,0,21,4,x,5,,4.8,4.7,,0,0,-8,104,-4,0
,339,R1.0,,43,3,2,2,1,42,5,x,1,1,42,1,x,1,,7.1,8.0,,0,2,-16,112,-4,0
,340,R0.0,,43,4,0,2,0,21,5,x,1,0,21,0,x,1,,4.8,4.8,,0,0,-8,104,-4,0
,341,R1.1,,43,5,3,2,1,43,1,x,5,1,43,5,x,5,,7.2,7.8,,0,2,-16,112,-4,0
,342,R0.1,,43,6,1,2,0,20,1,x,5,0,20,4,x,5,,4.7,5.0,,0,0,-8,104,-4,0
,343,R1.0,,43,7,2,2,1,43,5,x,1,1,43,1,x,1,,7.3,7.9,,0,2,-16,112,-4,0
,344,R0.0,,43,8,0,2,0,20,5,x,1,0,20,0,x,1,,4.7,5.0,,0,0,-8,104,-4,0
,345,R1.1,,44,1,3,2,1,40,1,x,5,1,40,6,x,5,,5.7,6.7,,0,2,-12,108,-4,0
,346,R0.1,,44,2,1,2,0,23,1,x,5,0,23,5,x,5,,5.5,5.0,,0,0,-8,104,-4,0
,347,R1.0,,44,3,2,2,1,40,5,x,1,1,40,2,x,1,,5.9,6.6,,0,2,-12,108,-4,0
,348,R0.0,,44,4,0,2,0,23,5,x,1,0,23,1,x,1,,5.4,5.3,,0,0,-8,104,-4,0
,349,R1.1,,44,5,3,2,1,41,1,x,5,1,41,6,x,5,,6.0,6.6,,0,2,-12,108,-4,0
,350,R0.1,,44,6,1,2,0,22,1,x,5,0,22,5,x,5,,5.4,5.3,,0,0,-8,104,-4,0
,351,R1.0,,44,7,2,2,1,41,5,x,1,1,41,2,x,1,,6.1,6.7,,0,2,-12,108,-4,0
,352,R0.0,,44,8,0,2,0,22,5,x,1,0,22,1,x,1,,5.4,5.8,,0,0,-8,104,-4,0
,353,R1.0,,45,1,2,2,1,42,2,,2,1,42,6,x,2,,5.2,6.1,,0,2,-12,108,-4,0
,354,R0.0,,45,2,0,2,0,21,2,,2,0,21,5,x,2,,6.7,6.4,,0,2,-12,108,-4,0
,355,R1.1,,45,3,3,2,1,42,6,,6,1,42,2,x,6,,5.3,6.0,,0,2,-12,108,-4,0
,356,R0.1,,45,4,1,2,0,21,6,,6,0,21,1,x,6,,6.6,6.7,,0,2,-12,108,-4,0
,357,R1.0,,45,5,2,2,1,43,2,,2,1,43,6,x,2,,5.5,6.1,,0,2,-12,108,-4,0
,358,R0.0,,45,6,0,2,0,20,2,,2,0,20,5,x,2,,6.6,6.7,,0,2,-12,108,-4,0
,359,R1.1,,45,7,3,2,1,43,6,,6,1,43,2,x,6,,5.6,6.0,,0,2,-12,108,-4,0
,360,R0.1,,45,8,1,2,0,20,6,,6,0,20,1,x,6,,6.6,6.9,,0,2,-12,108,-4,0
,361,R1.0,,46,1,2,2,1,40,2,,2,1,40,7,x,2,,4.0,4.7,,0,0,-8,104,-4,0
,362,R0.0,,46,2,0,2,0,23,2,,2,0,23,6,x,2,,7.4,6.9,,0,2,-12,108,-4,0
,363,R1.1,,46,3,3,2,1,40,6,,6,1,40,3,x,6,,4.1,4.7,,0,0,-8,104,-4,0
,364,R0.1,,46,4,1,2,0,23,6,,6,0,23,2,x,6,,7.3,7.0,,0,2,-12,108,-4,0
,365,R1.0,,46,5,2,2,1,41,2,,2,1,41,7,x,2,,4.3,4.6,,0,0,-8,104,-4,0
,366,R0.0,,46,6,0,2,0,22,2,,2,0,22,6,x,2,,7.3,7.2,,0,2,-12,108,-4,0
,367,R1.1,,46,7,3,2,1,41,6,,6,1,41,3,x,6,,4.4,4.8,,0,0,-8,104,-4,0
,368,R0.1,,46,8,1,2,0,22,6,,6,0,22,2,x,6,,7.3,7.4,,0,2,-12,108,-4,0
,369,R1.0,,47,1,2,2,1,42,3,,3,1,42,7,x,3,,3.4,4.1,,0,0,-8,104,-4,0
,370,R0.0,,47,2,0,2,0,21,3,,3,0,21,6,x,3,,8.6,8.3,,0,2,-12,120,-4,0
,371,R1.1,,47,3,3,2,1,42,7,,7,1,42,3,x,7,,3.3,4.1,,0,0,-8,104,-4,0
,372,R0.1,,47,4,1,2,0,21,7,,7,0,21,2,x,7,,8.3,8.4,,0,2,-12,120,-4,0
,373,R1.0,,47,5,2,2,1,43,3,,3,1,43,7,x,3,,3.7,4.1,,0,0,-8,104,-4,0
,374,R0.0,,47,6,0,2,0,20,3,,3,0,20,6,x,3,,8.5,8.6,,0,2,-12,120,-4,0
,375,R1.1,,47,7,3,2,1,43,7,,7,1,43,3,x,7,,3.6,4.1,,0,0,-8,104,-4,0
,376,R0.1,,47,8,1,2,0,20,7,,7,0,20,2,x,7,,8.3,8.6,,0,2,-12,120,-4,0
,377,R1.0,,48,1,2,2,1,40,3,,3,1,40,4,x,3,,2.2,2.8,,0,0,-8,100,-4,0
,378,R0.0,,48,2,0,2,0,23,3,,3,0,23,7,x,3,,9.3,8.2,,0,2,-16,112,-4,0
,379,R1.1,,48,3,3,2,1,40,7,,7,1,40,0,x,7,,2.1,2.7,,0,0,-8,100,-4,0
,380,R0.1,,48,4,1,2,0,23,7,,7,0,23,3,x,7,,9.0,8.3,,0,2,-16,112,-4,0
,381,R1.0,,48,5,2,2,1,41,3,,3,1,41,4,x,3,,2.5,2.8,,0,0,-8,100,-4,0
,382,R0.0,,48,6,0,2,0,22,3,,3,0,22,7,x,3,,9.2,8.5,,0,2,-16,112,-4,0
,383,R1.1,,48,7,3,2,1,41,7,,7,1,41,0,x,7,,2.4,2.7,,0,0,-8,100,-4,0
,384,R0.1,,48,8,1,2,0,22,7,,7,0,22,3,x,7,,9.0,8.6,,0,2,-16,112,-4,0
,385,R1.1,,49,1,3,3,1,38,0,x,4,1,38,4,x,4,,8.3,8.9,,0,2,-16,116,-4,0
,386,R0.1,,49,2,1,3,0,25,0,x,4,0,25,7,x,4,,2.5,2.1,,0,0,-8,104,-4,0
,387,R1.0,,49,3,2,3,1,38,4,x,0,1,38,0,x,0,,8.6,8.9,,0,2,-16,116,-4,0
,388,R0.0,,49,4,0,3,0,25,4,x,0,0,25,3,x,0,,2.7,2.2,,0,0,-8,104,-4,0
,389,R1.1,,49,5,3,3,1,39,0,x,4,1,39,4,x,4,,8.6,8.9,,0,2,-16,116,-4,0
,390,R0.1,,49,6,1,3,0,24,0,x,4,0,24,7,x,4,,2.4,2.4,,0,0,-8,104,-4,0
,391,R1.0,,49,7,2,3,1,39,4,x,0,1,39,0,x,0,,8.9,8.9,,0,2,-16,116,-4,0
,392,R0.0,,49,8,0,3,0,24,4,x,0,0,24,3,x,0,,2.6,2.5,,0,0,-8,104,-4,0
,393,R1.1,,50,1,3,3,1,36,0,x,4,1,36,5,x,4,,7.1,7.9,,0,2,-16,132,-8,0
,394,R0.1,,50,2,1,3,0,27,0,x,4,0,27,4,x,4,,3.2,2.9,,0,0,-8,96,0,0
,395,R1.0,,50,3,2,3,1,36,4,x,0,1,36,1,x,0,,7.2,8.0,,0,2,-16,132,-8,0
,396,R0.0,,50,4,0,3,0,27,4,x,0,0,27,0,x,0,,3.1,3.0,,0,0,-8,96,0,0
,397,R1.1,,50,5,3,3,1,37,0,x,4,1,37,5,x,4,,7.4,8.0,,0,2,-16,132,-8,0
,398,R0.1,,50,6,1,3,0,26,0,x,4,0,26,4,x,4,,3.1,3.3,,0,0,-8,96,0,0
,399,R1.0,,50,7,2,3,1,37,4,x,0,1,37,1,x,0,,7.7,8.2,,0,2,-16,132,-8,0
,400,R0.0,,50,8,0,3,0,26,4,x,0,0,26,0,x,0,,3.3,3.4,,0,0,-8,96,0,0
,401,R1.1,,51,1,3,3,1,38,1,x,5,1,38,5,x,5,,6.5,7.4,,0,2,-16,112,-4,0
,402,R0.1,,51,2,1,3,0,25,1,x,5,0,25,4,x,5,,4.4,4.2,,0,0,-8,104,-4,0
,403,R1.0,,51,3,2,3,1,38,5,x,1,1,38,1,x,1,,6.7,7.5,,0,2,-16,112,-4,0
,404,R0.0,,51,4,0,3,0,25,5,x,1,0,25,0,x,1,,4.3,4.3,,0,0,-8,104,-4,0
,405,R1.1,,51,5,3,3,1,39,1,x,5,1,39,5,x,5,,6.8,7.3,,0,2,-16,112,-4,0
,406,R0.1,,51,6,1,3,0,24,1,x,5,0,24,4,x,5,,4.3,4.5,,0,0,-8,104,-4,0
,407,R1.0,,51,7,2,3,1,39,5,x,1,1,39,1,x,1,,6.9,7.4,,0,2,-16,112,-4,0
,408,R0.0,,51,8,0,3,0,24,5,x,1,0,24,0,x,1,,4.3,4.6,,0,0,-8,104,-4,0
,409,R1.1,,52,1,3,3,1,36,1,x,5,1,36,6,x,5,,5.2,6.3,,0,0,-8,112,-4,0
,410,R0.1,,52,2,1,3,0,27,1,x,5,0,27,5,x,5,,4.9,4.6,,0,0,-8,104,-4,0
,411,R1.0,,52,3,2,3,1,36,5,x,1,1,36,2,x,1,,5.3,6.4,,0,0,-8,112,-4,0
,412,R0.0,,52,4,0,3,0,27,5,x,1,0,27,1,x,1,,4.9,4.9,,0,0,-8,104,-4,0
,413,R1.1,,52,5,3,3,1,37,1,x,5,1,37,6,x,5,,5.6,6.3,,0,0,-8,112,-4,0
,414,R0.1,,52,6,1,3,0,26,1,x,5,0,26,5,x,5,,5.0,5.0,,0,0,-8,104,-4,0
,415,R1.0,,52,7,2,3,1,37,5,x,1,1,37,2,x,1,,5.7,6.2,,0,0,-8,112,-4,0
,416,R0.0,,52,8,0,3,0,26,5,x,1,0,26,1,x,1,,5.0,5.3,,0,0,-8,104,-4,0
,417,R1.0,,53,1,2,3,1,38,2,,2,1,38,6,x,2,,4.8,5.6,,0,0,-8,104,-4,0
,418,R0.0,,53,2,0,3,0,25,2,,2,0,25,5,x,2,,6.3,5.9,,0,2,-12,108,-4,0
,419,R1.1,,53,3,3,3,1,38,6,,6,1,38,2,x,6,,4.9,5.5,,0,0,-8,104,-4,0
,420,R0.1,,53,4,1,3,0,25,6,,6,0,25,1,x,6,,6.2,6.2,,0,2,-12,108,-4,0
,421,R1.0,,53,5,2,3,1,39,2,,2,1,39,6,x,2,,5.0,5.6,,0,0,-8,104,-4,0
,422,R0.0,,53,6,0,3,0,24,2,,2,0,24,5,x,2,,6.2,6.2,,0,2,-12,108,-4,0
,423,R1.1,,53,7,3,3,1,39,6,,6,1,39,2,x,6,,5.2,5.5,,0,0,-8,104,-4,0
,424,R0.1,,53,8,1,3,0,24,6,,6,0,24,1,x,6,,6.2,6.5,,0,2,-12,108,-4,0
,425,R1.0,,54,1,2,3,1,36,2,,2,1,36,7,x,2,,3.6,4.5,,0,0,-8,104,-4,0
,426,R0.0,,54,2,0,3,0,27,2,,2,0,27,6,x,2,,7.0,6.6,,0,2,-12,108,-4,0
,427,R1.1,,54,3,3,3,1,36,6,,6,1,36,3,x,6,,3.4,4.5,,0,0,-8,104,-4,0
,428,R0.1,,54,4,1,3,0,27,6,,6,0,27,2,x,6,,6.6,6.8,,0,2,-12,108,-4,0
,429,R1.0,,54,5,2,3,1,37,2,,2,1,37,7,x,2,,3.9,4.3,,0,0,-8,104,-4,0
,430,R0.0,,54,6,0,3,0,26,2,,2,0,26,6,x,2,,6.9,6.9,,0,2,-12,108,-4,0
,431,R1.1,,54,7,3,3,1,37,6,,6,1,37,3,x,6,,4.0,4.3,,0,0,-8,104,-4,0
,432,R0.1,,54,8,1,3,0,26,6,,6,0,26,2,x,6,,6.9,7.0,,0,2,-12,108,-4,0
,433,R1.0,,55,1,2,3,1,38,3,,3,1,38,7,x,3,,3.0,3.6,,0,0,-8,104,-4,0
,434,R0.0,,55,2,0,3,0,25,3,,3,0,25,6,x,3,,8.2,7.8,,0,2,-16,124,-4,0
,435,R1.1,,55,3,3,3,1,38,7,,7,1,38,3,x,7,,2.9,3.6,,0,0,-8,104,-4,0
,436,R0.1,,55,4,1,3,0,25,7,,7,0,25,2,x,7,,7.9,7.9,,0,2,-16,124,-4,0
,437,R1.0,,55,5,2,3,1,39,3,,3,1,39,7,x,3,,3.3,3.6,,0,0,-8,104,-4,0
,438,R0.0,,55,6,0,3,0,24,3,,3,0,24,6,x,3,,8.1,8.1,,0,2,-16,124,-4,0
,439,R1.1,,55,7,3,3,1,39,7,,7,1,39,3,x,7,,3.2,3.6,,0,0,-8,104,-4,0
,440,R0.1,,55,8,1,3,0,24,7,,7,0,24,2,x,7,,7.9,8.2,,0,2,-16,124,-4,0
,441,R1.0,,56,1,2,3,1,36,3,,3,1,36,4,x,3,,1.7,2.3,,0,0,-8,100,-4,0
,442,R0.0,,56,2,0,3,0,27,3,,3,0,27,7,x,3,,8.7,8.1,,0,2,-16,112,-4,0
,443,R1.1,,56,3,3,3,1,36,7,,7,1,36,0,x,7,,1.7,2.3,,0,0,-8,100,-4,0
,444,R0.1,,56,4,1,3,0,27,7,,7,0,27,3,x,7,,8.7,8.2,,0,2,-16,112,-4,0
,445,R1.0,,56,5,2,3,1,37,3,,3,1,37,4,x,3,,2.1,2.5,,0,0,-8,100,-4,0
,446,R0.0,,56,6,0,3,0,26,3,,3,0,26,7,x,3,,8.8,8.2,,0,2,-16,112,-4,0
,447,R1.1,,56,7,3,3,1,37,7,,7,1,37,0,x,7,,2.0,2.5,,0,0,-8,100,-4,0
,448,R0.1,,56,8,1,3,0,26,7,,7,0,26,3,x,7,,8.6,8.4,,0,2,-16,112,-4,0
,449,R1.0,,57,1,2,3,1,34,4,x,0,1,34,4,x,0,,8.1,8.2,,0,2,-16,112,-4,0
,450,R0.0,,57,2,0,3,0,29,4,x,0,0,29,5,x,0,,2.5,1.4,,0,2,-12,116,-4,0
,451,R1.1,,57,3,3,3,1,34,6,,6,1,34,6,-,6,,8.1,8.1,,0,2,-16,112,-4,0
