INDEX,VD,Group,,OSFP Port#,OSFP Lane#,Ramon3,VD,Port Group,Serdes Core,Physical Lane,Rx 2x2 Mux,Logical Lane
504,R0.1,3,,63,8,0,1,3,28,5,,5
505,R1.0,3,,64,1,1,0,4,32,3,,3
506,R0.0,3,,64,2,0,0,3,31,3,,3
507,R1.1,3,,64,3,1,1,4,32,1,x,5
508,R0.1,3,,64,4,0,1,3,31,1,x,5
509,R1.0,3,,64,5,1,0,4,33,7,x,3
510,R0.0,3,,64,6,0,0,3,30,7,x,3
511,R1.1,3,,64,7,1,1,4,33,5,,5
512,R0.1,3,,64,8,0,1,3,30,5,,5
513,R1.1,4,,65,1,1,1,3,31,2,x,6
514,R0.1,4,,65,2,0,1,4,32,2,x,6
515,R1.0,4,,65,3,1,0,3,31,0,,0
516,R0.0,4,,65,4,0,0,4,32,0,,0
517,R1.1,4,,65,5,1,1,3,30,6,,6
518,R0.1,4,,65,6,0,1,4,33,6,,6
519,R1.0,4,,65,7,1,0,3,30,4,x,0
520,R0.0,4,,65,8,0,0,4,33,4,x,0
521,R1.1,4,,66,1,1,1,3,29,2,x,6
522,R0.1,4,,66,2,0,1,4,34,2,x,6
523,R1.0,4,,66,3,1,0,3,29,0,,0
524,R0.0,4,,66,4,0,0,4,34,0,,0
525,R1.1,4,,66,5,1,1,3,28,6,,6
526,R0.1,4,,66,6,0,1,4,35,6,,6
527,R1.0,4,,66,7,1,0,3,28,4,x,0
528,R0.0,4,,66,8,0,0,4,35,4,x,0
529,R1.1,4,,67,1,1,1,3,31,3,x,7
530,R0.1,4,,67,2,0,1,4,32,3,x,7
531,R1.0,4,,67,3,1,0,3,31,1,,1
532,R0.0,4,,67,4,0,0,4,32,1,,1
533,R1.1,4,,67,5,1,1,3,30,7,,7
534,R0.1,4,,67,6,0,1,4,33,7,,7
535,R1.0,4,,67,7,1,0,3,30,5,x,1
536,R0.0,4,,67,8,0,0,4,33,5,x,1
537,R1.1,4,,68,1,1,1,3,29,3,x,7
538,R0.1,4,,68,2,0,1,4,34,3,x,7
539,R1.0,4,,68,3,1,0,3,29,1,,1
540,R0.0,4,,68,4,0,0,4,34,1,,1
541,R1.1,4,,68,5,1,1,3,28,7,,7
542,R0.1,4,,68,6,0,1,4,35,7,,7
543,R1.0,4,,68,7,1,0,3,28,5,x,1
544,R0.0,4,,68,8,0,0,4,35,5,x,1
545,R1.0,4,,69,1,1,0,3,30,2,,2
546,R0.0,4,,69,2,0,0,4,33,2,,2
547,R1.1,4,,69,3,1,1,3,30,0,x,4
548,R0.1,4,,69,4,0,1,4,33,0,x,4
549,R1.0,4,,69,5,1,0,3,31,6,x,2
550,R0.0,4,,69,6,0,0,4,32,6,x,2
551,R1.1,4,,69,7,1,1,3,31,4,,4
552,R0.1,4,,69,8,0,1,4,32,4,,4
553,R1.0,4,,70,1,1,0,3,28,2,,2
554,R0.0,4,,70,2,0,0,4,35,2,,2
555,R1.1,4,,70,3,1,1,3,28,0,x,4
556,R0.1,4,,70,4,0,1,4,35,0,x,4
557,R1.0,4,,70,5,1,0,3,29,6,x,2
558,R0.0,4,,70,6,0,0,4,34,6,x,2
559,R1.1,4,,70,7,1,1,3,29,4,,4
560,R0.1,4,,70,8,0,1,4,34,4,,4
561,R1.0,4,,71,1,1,0,3,30,3,,3
562,R0.0,4,,71,2,0,0,4,33,3,,3
563,R1.1,4,,71,3,1,1,3,30,1,x,5
564,R0.1,4,,71,4,0,1,4,33,1,x,5
565,R1.0,4,,71,5,1,0,3,31,7,x,3
566,R0.0,4,,71,6,0,0,4,32,7,x,3
567,R1.1,4,,71,7,1,1,3,31,5,,5
568,R0.1,4,,71,8,0,1,4,32,5,,5
569,R1.0,4,,72,1,1,0,3,28,3,,3
570,R0.0,4,,72,2,0,0,4,35,3,,3
571,R1.1,4,,72,3,1,1,3,28,1,x,5
572,R0.1,4,,72,4,0,1,4,35,1,x,5
573,R1.0,4,,72,5,1,0,3,29,7,x,3
574,R0.0,4,,72,6,0,0,4,34,7,x,3
575,R1.1,4,,72,7,1,1,3,29,5,,5
576,R0.1,4,,72,8,0,1,4,34,5,,5
577,R1.1,4,,73,1,1,1,3,27,4,,4
578,R0.1,4,,73,2,0,1,4,36,4,,4
579,R1.0,4,,73,3,1,0,3,27,0,,0
580,R0.0,4,,73,4,0,0,4,36,0,,0
581,R1.1,4,,73,5,1,1,3,26,4,,4
582,R0.1,4,,73,6,0,1,4,37,4,,4
583,R1.0,4,,73,7,1,0,3,26,0,,0
584,R0.0,4,,73,8,0,0,4,37,0,,0
585,R1.1,4,,74,1,1,1,3,25,4,,4
586,R0.1,4,,74,2,0,1,4,38,4,,4
587,R1.0,4,,74,3,1,0,3,25,0,,0
588,R0.0,4,,74,4,0,0,4,38,0,,0
589,R1.1,4,,74,5,1,1,3,24,4,,4
590,R0.1,4,,74,6,0,1,4,39,4,,4
591,R1.0,4,,74,7,1,0,3,24,0,,0
592,R0.0,4,,74,8,0,0,4,39,0,,0
593,R1.1,4,,75,1,1,1,3,27,5,,5
594,R0.1,4,,75,2,0,1,4,36,5,,5
595,R1.0,4,,75,3,1,0,3,27,1,,1
596,R0.0,4,,75,4,0,0,4,36,1,,1
597,R1.1,4,,75,5,1,1,3,26,5,,5
598,R0.1,4,,75,6,0,1,4,37,5,,5
599,R1.0,4,,75,7,1,0,3,26,1,,1
600,R0.0,4,,75,8,0,0,4,37,1,,1
601,R1.1,4,,76,1,1,1,3,25,5,,5
602,R0.1,4,,76,2,0,1,4,38,5,,5
603,R1.0,4,,76,3,1,0,3,25,1,,1
604,R0.0,4,,76,4,0,0,4,38,1,,1
605,R1.1,4,,76,5,1,1,3,24,5,,5
606,R0.1,4,,76,6,0,1,4,39,5,,5
607,R1.0,4,,76,7,1,0,3,24,1,,1
608,R0.0,4,,76,8,0,0,4,39,1,,1
609,R1.0,4,,77,1,1,0,3,27,6,x,2
610,R0.0,4,,77,2,0,0,4,36,6,x,2
611,R1.1,4,,77,3,1,1,3,27,2,x,6
612,R0.1,4,,77,4,0,1,4,36,2,x,6
613,R1.0,4,,77,5,1,0,3,26,6,x,2
614,R0.0,4,,77,6,0,0,4,37,6,x,2
615,R1.1,4,,77,7,1,1,3,26,2,x,6
616,R0.1,4,,77,8,0,1,4,37,2,x,6
617,R1.0,4,,78,1,1,0,3,25,6,x,2
618,R0.0,4,,78,2,0,0,4,38,6,x,2
619,R1.1,4,,78,3,1,1,3,25,2,x,6
620,R0.1,4,,78,4,0,1,4,38,2,x,6
621,R1.0,4,,78,5,1,0,3,24,6,x,2
622,R0.0,4,,78,6,0,0,4,39,6,x,2
623,R1.1,4,,78,7,1,1,3,24,2,x,6
624,R0.1,4,,78,8,0,1,4,39,2,x,6
625,R1.0,4,,79,1,1,0,3,27,7,x,3
626,R0.0,4,,79,2,0,0,4,36,7,x,3
627,R1.1,4,,79,3,1,1,3,27,3,x,7
628,R0.1,4,,79,4,0,1,4,36,3,x,7
629,R1.0,4,,79,5,1,0,3,26,7,x,3
630,R0.0,4,,79,6,0,0,4,37,7,x,3
631,R1.1,4,,79,7,1,1,3,26,3,x,7
632,R0.1,4,,79,8,0,1,4,37,3,x,7
633,R1.0,4,,80,1,1,0,3,25,7,x,3
634,R0.0,4,,80,2,0,0,4,38,7,x,3
635,R1.1,4,,80,3,1,1,3,25,3,x,7
636,R0.1,4,,80,4,0,1,4,38,3,x,7
637,R1.0,4,,80,5,1,0,3,24,7,x,3
638,R0.0,4,,80,6,0,0,4,39,7,x,3
639,R1.1,4,,80,7,1,1,3,24,3,x,7
640,R0.1,4,,80,8,0,1,4,39,3,x,7
641,R1.1,5,,81,1,1,1,2,23,4,,4
642,R0.1,5,,81,2,0,1,5,40,4,,4
643,R1.0,5,,81,3,1,0,2,23,0,,0
644,R0.0,5,,81,4,0,0,5,40,0,,0
645,R1.1,5,,81,5,1,1,2,22,4,,4
646,R0.1,5,,81,6,0,1,5,41,4,,4
647,R1.0,5,,81,7,1,0,2,22,0,,0
648,R0.0,5,,81,8,0,0,5,41,0,,0
649,R1.1,5,,82,1,1,1,2,21,4,,4
650,R0.1,5,,82,2,0,1,5,42,4,,4
651,R1.0,5,,82,3,1,0,2,21,0,,0
652,R0.0,5,,82,4,0,0,5,42,0,,0
653,R1.1,5,,82,5,1,1,2,20,4,,4
654,R0.1,5,,82,6,0,1,5,43,4,,4
655,R1.0,5,,82,7,1,0,2,20,0,,0
656,R0.0,5,,82,8,0,0,5,43,0,,0
657,R1.1,5,,83,1,1,1,2,23,5,,5
658,R0.1,5,,83,2,0,1,5,40,5,,5
659,R1.0,5,,83,3,1,0,2,23,1,,1
660,R0.0,5,,83,4,0,0,5,40,1,,1
661,R1.1,5,,83,5,1,1,2,22,5,,5
662,R0.1,5,,83,6,0,1,5,41,5,,5
663,R1.0,5,,83,7,1,0,2,22,1,,1
664,R0.0,5,,83,8,0,0,5,41,1,,1
665,R1.1,5,,84,1,1,1,2,21,5,,5
666,R0.1,5,,84,2,0,1,5,42,5,,5
667,R1.0,5,,84,3,1,0,2,21,1,,1
668,R0.0,5,,84,4,0,0,5,42,1,,1
669,R1.1,5,,84,5,1,1,2,20,5,,5
670,R0.1,5,,84,6,0,1,5,43,5,,5
671,R1.0,5,,84,7,1,0,2,20,1,,1
672,R0.0,5,,84,8,0,0,5,43,1,,1
673,R1.0,5,,85,1,1,0,2,23,6,x,2
674,R0.0,5,,85,2,0,0,5,40,6,x,2
675,R1.1,5,,85,3,1,1,2,23,2,x,6
676,R0.1,5,,85,4,0,1,5,40,2,x,6
677,R1.0,5,,85,5,1,0,2,22,6,x,2
678,R0.0,5,,85,6,0,0,5,41,6,x,2
679,R1.1,5,,85,7,1,1,2,22,2,x,6
680,R0.1,5,,85,8,0,1,5,41,2,x,6
681,R1.0,5,,86,1,1,0,2,21,6,x,2
682,R0.0,5,,86,2,0,0,5,42,6,x,2
683,R1.1,5,,86,3,1,1,2,21,2,x,6
684,R0.1,5,,86,4,0,1,5,42,2,x,6
685,R1.0,5,,86,5,1,0,2,20,6,x,2
686,R0.0,5,,86,6,0,0,5,43,6,x,2
687,R1.1,5,,86,7,1,1,2,20,2,x,6
688,R0.1,5,,86,8,0,1,5,43,2,x,6
689,R1.0,5,,87,1,1,0,2,23,7,x,3
690,R0.0,5,,87,2,0,0,5,40,7,x,3
691,R1.1,5,,87,3,1,1,2,23,3,x,7
692,R0.1,5,,87,4,0,1,5,40,3,x,7
693,R1.0,5,,87,5,1,0,2,22,7,x,3
694,R0.0,5,,87,6,0,0,5,41,7,x,3
695,R1.1,5,,87,7,1,1,2,22,3,x,7
696,R0.1,5,,87,8,0,1,5,41,3,x,7
697,R1.0,5,,88,1,1,0,2,21,7,x,3
698,R0.0,5,,88,2,0,0,5,42,7,x,3
699,R1.1,5,,88,3,1,1,2,21,3,x,7
700,R0.1,5,,88,4,0,1,5,42,3,x,7
701,R1.0,5,,88,5,1,0,2,20,7,x,3
702,R0.0,5,,88,6,0,0,5,43,7,x,3
703,R1.1,5,,88,7,1,1,2,20,3,x,7
704,R0.1,5,,88,8,0,1,5,43,3,x,7
705,R1.1,5,,89,1,1,1,2,19,4,,4
706,R0.1,5,,89,2,0,1,5,44,4,,4
707,R1.0,5,,89,3,1,0,2,19,0,,0
708,R0.0,5,,89,4,0,0,5,44,0,,0
709,R1.1,5,,89,5,1,1,2,18,4,,4
710,R0.1,5,,89,6,0,1,5,45,4,,4
711,R1.0,5,,89,7,1,0,2,18,0,,0
712,R0.0,5,,89,8,0,0,5,45,0,,0
713,R1.1,5,,90,1,1,1,2,17,4,,4
714,R0.1,5,,90,2,0,1,5,46,4,,4
715,R1.0,5,,90,3,1,0,2,17,0,,0
716,R0.0,5,,90,4,0,0,5,46,0,,0
717,R1.1,5,,90,5,1,1,2,16,4,,4
718,R0.1,5,,90,6,0,1,5,47,4,,4
719,R1.0,5,,90,7,1,0,2,16,0,,0
720,R0.0,5,,90,8,0,0,5,47,0,,0
721,R1.1,5,,91,1,1,1,2,19,5,,5
722,R0.1,5,,91,2,0,1,5,44,5,,5
723,R1.0,5,,91,3,1,0,2,19,1,,1
724,R0.0,5,,91,4,0,0,5,44,1,,1
725,R1.1,5,,91,5,1,1,2,18,5,,5
726,R0.1,5,,91,6,0,1,5,45,5,,5
727,R1.0,5,,91,7,1,0,2,18,1,,1
728,R0.0,5,,91,8,0,0,5,45,1,,1
729,R1.1,5,,92,1,1,1,2,17,5,,5
730,R0.1,5,,92,2,0,1,5,46,5,,5
731,R1.0,5,,92,3,1,0,2,17,1,,1
732,R0.0,5,,92,4,0,0,5,46,1,,1
733,R1.1,5,,92,5,1,1,2,16,5,,5
734,R0.1,5,,92,6,0,1,5,47,5,,5
735,R1.0,5,,92,7,1,0,2,16,1,,1
736,R0.0,5,,92,8,0,0,5,47,1,,1
737,R1.0,5,,93,1,1,0,2,19,6,x,2
738,R0.0,5,,93,2,0,0,5,44,6,x,2
739,R1.1,5,,93,3,1,1,2,19,2,x,6
740,R0.1,5,,93,4,0,1,5,44,2,x,6
741,R1.0,5,,93,5,1,0,2,18,6,x,2
742,R0.0,5,,93,6,0,0,5,45,6,x,2
743,R1.1,5,,93,7,1,1,2,18,2,x,6
744,R0.1,5,,93,8,0,1,5,45,2,x,6
745,R1.0,5,,94,1,1,0,2,17,6,x,2
746,R0.0,5,,94,2,0,0,5,46,6,x,2
747,R1.1,5,,94,3,1,1,2,17,2,x,6
748,R0.1,5,,94,4,0,1,5,46,2,x,6
749,R1.0,5,,94,5,1,0,2,16,6,x,2
750,R0.0,5,,94,6,0,0,5,47,6,x,2
751,R1.1,5,,94,7,1,1,2,16,2,x,6
752,R0.1,5,,94,8,0,1,5,47,2,x,6
753,R1.0,5,,95,1,1,0,2,19,7,x,3
754,R0.0,5,,95,2,0,0,5,44,7,x,3
755,R1.1,5,,95,3,1,1,2,19,3,x,7
756,R0.1,5,,95,4,0,1,5,44,3,x,7
757,R1.0,5,,95,5,1,0,2,18,7,x,3
758,R0.0,5,,95,6,0,0,5,45,7,x,3
759,R1.1,5,,95,7,1,1,2,18,3,x,7
760,R0.1,5,,95,8,0,1,5,45,3,x,7
761,R1.0,5,,96,1,1,0,2,17,7,x,3
762,R0.0,5,,96,2,0,0,5,46,7,x,3
763,R1.1,5,,96,3,1,1,2,17,3,x,7
764,R0.1,5,,96,4,0,1,5,46,3,x,7
765,R1.0,5,,96,5,1,0,2,16,7,x,3
766,R0.0,5,,96,6,0,0,5,47,7,x,3
767,R1.1,5,,96,7,1,1,2,16,3,x,7
768,R0.1,5,,96,8,0,1,5,47,3,x,7
769,R1.1,6,,97,1,1,1,1,15,0,x,4
770,R0.1,6,,97,2,0,1,6,48,0,x,4
771,R1.0,6,,97,3,1,0,1,15,4,x,0
772,R0.0,6,,97,4,0,0,6,48,4,x,0
773,R1.1,6,,97,5,1,1,1,14,0,x,4
774,R0.1,6,,97,6,0,1,6,49,0,x,4
775,R1.0,6,,97,7,1,0,1,14,4,x,0
776,R0.0,6,,97,8,0,0,6,49,4,x,0
777,R1.1,6,,98,1,1,1,1,13,0,x,4
778,R0.1,6,,98,2,0,1,6,50,0,x,4
779,R1.0,6,,98,3,1,0,1,13,4,x,0
780,R0.0,6,,98,4,0,0,6,50,4,x,0
781,R1.1,6,,98,5,1,1,1,12,0,x,4
782,R0.1,6,,98,6,0,1,6,51,0,x,4
783,R1.0,6,,98,7,1,0,1,12,4,x,0
784,R0.0,6,,98,8,0,0,6,51,4,x,0
785,R1.1,6,,99,1,1,1,1,15,1,x,5
786,R0.1,6,,99,2,0,1,6,48,1,x,5
787,R1.0,6,,99,3,1,0,1,15,5,x,1
788,R0.0,6,,99,4,0,0,6,48,5,x,1
789,R1.1,6,,99,5,1,1,1,14,1,x,5
790,R0.1,6,,99,6,0,1,6,49,1,x,5
791,R1.0,6,,99,7,1,0,1,14,5,x,1
792,R0.0,6,,99,8,0,0,6,49,5,x,1
793,R1.1,6,,100,1,1,1,1,13,1,x,5
794,R0.1,6,,100,2,0,1,6,50,1,x,5
795,R1.0,6,,100,3,1,0,1,13,5,x,1
796,R0.0,6,,100,4,0,0,6,50,5,x,1
797,R1.1,6,,100,5,1,1,1,12,1,x,5
798,R0.1,6,,100,6,0,1,6,51,1,x,5
799,R1.0,6,,100,7,1,0,1,12,5,x,1
800,R0.0,6,,100,8,0,0,6,51,5,x,1
801,R1.0,6,,101,1,1,0,1,15,2,,2
802,R0.0,6,,101,2,0,0,6,48,2,,2
803,R1.1,6,,101,3,1,1,1,15,6,,6
804,R0.1,6,,101,4,0,1,6,48,6,,6
805,R1.0,6,,101,5,1,0,1,14,2,,2
806,R0.0,6,,101,6,0,0,6,49,2,,2
807,R1.1,6,,101,7,1,1,1,14,6,,6
808,R0.1,6,,101,8,0,1,6,49,6,,6
809,R1.0,6,,102,1,1,0,1,13,2,,2
810,R0.0,6,,102,2,0,0,6,50,2,,2
811,R1.1,6,,102,3,1,1,1,13,6,,6
812,R0.1,6,,102,4,0,1,6,50,6,,6
813,R1.0,6,,102,5,1,0,1,12,2,,2
814,R0.0,6,,102,6,0,0,6,51,2,,2
815,R1.1,6,,102,7,1,1,1,12,6,,6
816,R0.1,6,,102,8,0,1,6,51,6,,6
817,R1.0,6,,103,1,1,0,1,15,3,,3
818,R0.0,6,,103,2,0,0,6,48,3,,3
819,R1.1,6,,103,3,1,1,1,15,7,,7
820,R0.1,6,,103,4,0,1,6,48,7,,7
821,R1.0,6,,103,5,1,0,1,14,3,,3
822,R0.0,6,,103,6,0,0,6,49,3,,3
823,R1.1,6,,103,7,1,1,1,14,7,,7
824,R0.1,6,,103,8,0,1,6,49,7,,7
825,R1.0,6,,104,1,1,0,1,13,3,,3
826,R0.0,6,,104,2,0,0,6,50,3,,3
827,R1.1,6,,104,3,1,1,1,13,7,,7
828,R0.1,6,,104,4,0,1,6,50,7,,7
829,R1.0,6,,104,5,1,0,1,12,3,,3
830,R0.0,6,,104,6,0,0,6,51,3,,3
831,R1.1,6,,104,7,1,1,1,12,7,,7
832,R0.1,6,,104,8,0,1,6,51,7,,7
833,R1.1,6,,105,1,1,1,1,11,0,x,4
834,R0.1,6,,105,2,0,1,6,52,0,x,4
835,R1.0,6,,105,3,1,0,1,11,4,x,0
836,R0.0,6,,105,4,0,0,6,52,4,x,0
837,R1.1,6,,105,5,1,1,1,10,0,x,4
838,R0.1,6,,105,6,0,1,6,53,0,x,4
839,R1.0,6,,105,7,1,0,1,10,4,x,0
840,R0.0,6,,105,8,0,0,6,53,4,x,0
841,R1.1,6,,106,1,1,1,1,9,0,x,4
842,R0.1,6,,106,2,0,1,6,54,0,x,4
843,R1.0,6,,106,3,1,0,1,9,4,x,0
844,R0.0,6,,106,4,0,0,6,54,4,x,0
845,R1.1,6,,106,5,1,1,1,8,0,x,4
846,R0.1,6,,106,6,0,1,6,55,0,x,4
847,R1.0,6,,106,7,1,0,1,8,4,x,0
848,R0.0,6,,106,8,0,0,6,55,4,x,0
849,R1.1,6,,107,1,1,1,1,11,1,x,5
850,R0.1,6,,107,2,0,1,6,52,1,x,5
851,R1.0,6,,107,3,1,0,1,11,5,x,1
852,R0.0,6,,107,4,0,0,6,52,5,x,1
853,R1.1,6,,107,5,1,1,1,10,1,x,5
854,R0.1,6,,107,6,0,1,6,53,1,x,5
855,R1.0,6,,107,7,1,0,1,10,5,x,1
856,R0.0,6,,107,8,0,0,6,53,5,x,1
857,R1.1,6,,108,1,1,1,1,9,1,x,5
858,R0.1,6,,108,2,0,1,6,54,1,x,5
859,R1.0,6,,108,3,1,0,1,9,5,x,1
860,R0.0,6,,108,4,0,0,6,54,5,x,1
861,R1.1,6,,108,5,1,1,1,8,1,x,5
862,R0.1,6,,108,6,0,1,6,55,1,x,5
863,R1.0,6,,108,7,1,0,1,8,5,x,1
864,R0.0,6,,108,8,0,0,6,55,5,x,1
865,R1.0,6,,109,1,1,0,1,11,2,,2
866,R0.0,6,,109,2,0,0,6,52,2,,2
867,R1.1,6,,109,3,1,1,1,11,6,,6
868,R0.1,6,,109,4,0,1,6,52,6,,6
869,R1.0,6,,109,5,1,0,1,10,2,,2
870,R0.0,6,,109,6,0,0,6,53,2,,2
871,R1.1,6,,109,7,1,1,1,10,6,,6
872,R0.1,6,,109,8,0,1,6,53,6,,6
873,R1.0,6,,110,1,1,0,1,9,2,,2
874,R0.0,6,,110,2,0,0,6,54,2,,2
875,R1.1,6,,110,3,1,1,1,9,6,,6
876,R0.1,6,,110,4,0,1,6,54,6,,6
877,R1.0,6,,110,5,1,0,1,8,2,,2
878,R0.0,6,,110,6,0,0,6,55,2,,2
879,R1.1,6,,110,7,1,1,1,8,6,,6
880,R0.1,6,,110,8,0,1,6,55,6,,6
881,R1.0,6,,111,1,1,0,1,11,3,,3
882,R0.0,6,,111,2,0,0,6,52,3,,3
883,R1.1,6,,111,3,1,1,1,11,7,,7
884,R0.1,6,,111,4,0,1,6,52,7,,7
885,R1.0,6,,111,5,1,0,1,10,3,,3
886,R0.0,6,,111,6,0,0,6,53,3,,3
887,R1.1,6,,111,7,1,1,1,10,7,,7
888,R0.1,6,,111,8,0,1,6,53,7,,7
889,R1.0,6,,112,1,1,0,1,9,3,,3
890,R0.0,6,,112,2,0,0,6,54,3,,3
891,R1.1,6,,112,3,1,1,1,9,7,,7
892,R0.1,6,,112,4,0,1,6,54,7,,7
893,R1.0,6,,112,5,1,0,1,8,3,,3
894,R0.0,6,,112,6,0,0,6,55,3,,3
895,R1.1,6,,112,7,1,1,1,8,7,,7
896,R0.1,6,,112,8,0,1,6,55,7,,7
897,R1.1,7,,113,1,1,1,0,7,0,x,4
898,R0.1,7,,113,2,0,1,7,56,0,x,4
899,R1.0,7,,113,3,1,0,0,7,4,x,0
900,R0.0,7,,113,4,0,0,7,56,4,x,0
901,R1.1,7,,113,5,1,1,0,6,0,x,4
902,R0.1,7,,113,6,0,1,7,57,0,x,4
903,R1.0,7,,113,7,1,0,0,6,4,x,0
904,R0.0,7,,113,8,0,0,7,57,4,x,0
905,R1.1,7,,114,1,1,1,0,5,0,x,4
906,R0.1,7,,114,2,0,1,7,58,0,x,4
907,R1.0,7,,114,3,1,0,0,5,4,x,0
908,R0.0,7,,114,4,0,0,7,58,4,x,0
909,R1.1,7,,114,5,1,1,0,4,0,x,4
910,R0.1,7,,114,6,0,1,7,59,0,x,4
911,R1.0,7,,114,7,1,0,0,4,4,x,0
912,R0.0,7,,114,8,0,0,7,59,4,x,0
913,R1.1,7,,115,1,1,1,0,7,1,x,5
914,R0.1,7,,115,2,0,1,7,56,1,x,5
915,R1.0,7,,115,3,1,0,0,7,5,x,1
916,R0.0,7,,115,4,0,0,7,56,5,x,1
917,R1.1,7,,115,5,1,1,0,6,1,x,5
918,R0.1,7,,115,6,0,1,7,57,1,x,5
919,R1.0,7,,115,7,1,0,0,6,5,x,1
920,R0.0,7,,115,8,0,0,7,57,5,x,1
921,R1.1,7,,116,1,1,1,0,5,1,x,5
922,R0.1,7,,116,2,0,1,7,58,1,x,5
923,R1.0,7,,116,3,1,0,0,5,5,x,1
924,R0.0,7,,116,4,0,0,7,58,5,x,1
925,R1.1,7,,116,5,1,1,0,4,1,x,5
926,R0.1,7,,116,6,0,1,7,59,1,x,5
927,R1.0,7,,116,7,1,0,0,4,5,x,1
928,R0.0,7,,116,8,0,0,7,59,5,x,1
929,R1.0,7,,117,1,1,0,0,7,2,,2
930,R0.0,7,,117,2,0,0,7,56,2,,2
931,R1.1,7,,117,3,1,1,0,7,6,,6
932,R0.1,7,,117,4,0,1,7,56,6,,6
933,R1.0,7,,117,5,1,0,0,6,2,,2
934,R0.0,7,,117,6,0,0,7,57,2,,2
935,R1.1,7,,117,7,1,1,0,6,6,,6
936,R0.1,7,,117,8,0,1,7,57,6,,6
937,R1.0,7,,118,1,1,0,0,5,2,,2
938,R0.0,7,,118,2,0,0,7,58,2,,2
939,R1.1,7,,118,3,1,1,0,5,6,,6
940,R0.1,7,,118,4,0,1,7,58,6,,6
941,R1.0,7,,118,5,1,0,0,4,2,,2
942,R0.0,7,,118,6,0,0,7,59,2,,2
943,R1.1,7,,118,7,1,1,0,4,6,,6
944,R0.1,7,,118,8,0,1,7,59,6,,6
945,R1.0,7,,119,1,1,0,0,7,3,,3
946,R0.0,7,,119,2,0,0,7,56,3,,3
947,R1.1,7,,119,3,1,1,0,7,7,,7
948,R0.1,7,,119,4,0,1,7,56,7,,7
949,R1.0,7,,119,5,1,0,0,6,3,,3
950,R0.0,7,,119,6,0,0,7,57,3,,3
951,R1.1,7,,119,7,1,1,0,6,7,,7
952,R0.1,7,,119,8,0,1,7,57,7,,7
953,R1.0,7,,120,1,1,0,0,5,3,,3
954,R0.0,7,,120,2,0,0,7,58,3,,3
955,R1.1,7,,120,3,1,1,0,5,7,,7
956,R0.1,7,,120,4,0,1,7,58,7,,7
957,R1.0,7,,120,5,1,0,0,4,3,,3
958,R0.0,7,,120,6,0,0,7,59,3,,3
959,R1.1,7,,120,7,1,1,0,4,7,,7
960,R0.1,7,,120,8,0,1,7,59,7,,7
961,R1.1,7,,121,1,1,1,0,3,2,x,6
962,R0.1,7,,121,2,0,1,7,60,2,x,6
963,R1.0,7,,121,3,1,0,0,3,0,,0
964,R0.0,7,,121,4,0,0,7,60,0,,0
965,R1.1,7,,121,5,1,1,0,2,6,,6
966,R0.1,7,,121,6,0,1,7,61,6,,6
967,R1.0,7,,121,7,1,0,0,2,4,x,0
968,R0.0,7,,121,8,0,0,7,61,4,x,0
969,R1.1,7,,122,1,1,1,0,1,2,x,6
970,R0.1,7,,122,2,0,1,7,62,2,x,6
971,R1.0,7,,122,3,1,0,0,1,0,,0
972,R0.0,7,,122,4,0,0,7,62,0,,0
973,R1.1,7,,122,5,1,1,0,0,6,,6
974,R0.1,7,,122,6,0,1,7,63,6,,6
975,R1.0,7,,122,7,1,0,0,0,4,x,0
976,R0.0,7,,122,8,0,0,7,63,4,x,0
977,R1.1,7,,123,1,1,1,0,3,3,x,7
978,R0.1,7,,123,2,0,1,7,60,3,x,7
979,R1.0,7,,123,3,1,0,0,3,1,,1
980,R0.0,7,,123,4,0,0,7,60,1,,1
981,R1.1,7,,123,5,1,1,0,2,7,,7
982,R0.1,7,,123,6,0,1,7,61,7,,7
983,R1.0,7,,123,7,1,0,0,2,5,x,1
984,R0.0,7,,123,8,0,0,7,61,5,x,1
985,R1.1,7,,124,1,1,1,0,1,3,x,7
986,R0.1,7,,124,2,0,1,7,62,3,x,7
987,R1.0,7,,124,3,1,0,0,1,1,,1
988,R0.0,7,,124,4,0,0,7,62,1,,1
989,R1.1,7,,124,5,1,1,0,0,7,,7
990,R0.1,7,,124,6,0,1,7,63,7,,7
991,R1.0,7,,124,7,1,0,0,0,5,x,1
992,R0.0,7,,124,8,0,0,7,63,5,x,1
993,R1.0,7,,125,1,1,0,0,2,2,,2
994,R0.0,7,,125,2,0,0,7,61,2,,2
995,R1.1,7,,125,3,1,1,0,2,0,x,4
996,R0.1,7,,125,4,0,1,7,61,0,x,4
997,R1.0,7,,125,5,1,0,0,3,6,x,2
998,R0.0,7,,125,6,0,0,7,60,6,x,2
999,R1.1,7,,125,7,1,1,0,3,4,,4
1000,R0.1,7,,125,8,0,1,7,60,4,,4
1001,R1.0,7,,126,1,1,0,0,0,2,,2
1002,R0.0,7,,126,2,0,0,7,63,2,,2
1003,R1.1,7,,126,3,1,1,0,0,0,x,4
1004,R0.1,7,,126,4,0,1,7,63,0,x,4
1005,R1.0,7,,126,5,1,0,0,1,6,x,2
1006,R0.0,7,,126,6,0,0,7,62,6,x,2
1007,R1.1,7,,126,7,1,1,0,1,4,,4
1008,R0.1,7,,126,8,0,1,7,62,4,,4
1009,R1.0,7,,127,1,1,0,0,2,3,,3
